duration,credit_amount,employment,installment_commitment,residence_since,age,existing_credits,job,num_dependents,own_telephone,foreign_worker,class,checking_status_'<0',checking_status_'>=200',checking_status_'no checking',credit_history_'critical/other existing credit',credit_history_'delayed previously',credit_history_'existing paid',credit_history_'no credits/all paid',purpose_'new car',purpose_'used car',purpose_business,purpose_education,purpose_furniture/equipment,purpose_other,purpose_radio/tv,purpose_repairs,purpose_retraining,savings_status_'500<=X<1000',savings_status_'<100',savings_status_'>=1000',savings_status_'no known savings',personal_status_'male div/sep',personal_status_'male mar/wid',personal_status_'male single',other_parties_guarantor,other_parties_none,property_magnitude_'no known property',property_magnitude_'real estate',property_magnitude_car,other_payment_plans_none,other_payment_plans_stores,housing_own,housing_rent
-1.0,-0.40610880173504427,0.0,0.0,-0.5,0.7142857142857143,0.0,0.0,0.0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
-1.0,-0.35550334357491414,0.0,-1.0,0.5,0.9285714285714286,1.0,0.0,1.0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0
-0.5,-0.3862280860292789,0.0,-0.5,0.5,-0.7857142857142857,1.0,-1.0,0.0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
1.0,3.4959334899692753,0.0,-1.0,-1.0,0.07142857142857142,0.0,-1.0,0.0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0
-0.8333333333333334,0.3873124887041388,0.0,-1.0,0.5,0.42857142857142855,1.0,-1.0,0.0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0
0.0,0.6645581059099945,0.0,-0.5,-0.5,0.21428571428571427,1.0,0.0,1.0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0
1.0,0.28248689680101213,0.0,-0.5,0.5,-0.14285714285714285,0.0,-1.0,0.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0
2.25,3.430146394361106,0.0,-0.5,0.5,-0.2857142857142857,1.0,0.0,0.0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1
-0.75,-0.23730345201518163,0.0,0.5,-0.5,-0.7857142857142857,0.0,0.0,0.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0
1.5,0.4046629315018977,0.0,0.5,-0.5,0.6428571428571429,0.0,0.0,1.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0
-1.0,-0.594071932044099,0.0,-0.5,-1.0,-0.2857142857142857,0.0,0.0,0.0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.0,3.849448761973613,1.0,0.0,0.5,0.35714285714285715,0.0,-1.0,0.0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
-0.25,1.6350984999096332,1.0,-1.0,-0.5,0.07142857142857142,0.0,-1.0,1.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
-0.25,0.012109163202602566,0.0,-0.5,-0.5,0.21428571428571427,0.0,0.0,0.0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0
